ResponseID,StartDate,EndDate,Finished,isAppointer,isClaimant,isRespondent,isOutcome,isOrder,iiAppointer,iiClaimant,iiRespondent,iiOutcome,iiDamages,ConsentForm,InvestorStateSeen,isShareFeesRespondent,isClaimantReimbursesAll,isClaimantReimbursesSome,isSplitExpenses,isRespondentReimbursesSome,isRespondentReimbursesAll,isRespondentReimbursesAll2,isRespondentReimbursesSome2,isSplitExpenses2,isClaimantReimbursesSome2,isClaimantReimbursesAll2,isOpenEnded,iiShown,iiClaimantDamages,iiShareFeesRespondent,iiClaimantReimbursesAll,iiClaimantReimbursesSome,iiSplitExpenses,iiRespondentReimbursesSome,iiRespondentReimbursesAll,iiRespondentReimbursesAll2,iiRespondentReimbursesSome2,iiSplitExpenses2,iiClaimantReimbursesSome2,iiClaimantReimbursesAll2,iiOpenEnded,backgroundShown,genderMale,genderFemale,anyUS,anyCommon,anyCivil,employmentPrivate,employmentProfessor,employmentGovt,employmentOther,employmentCoded,educationCoded,educationAnswered,numArbitrations0,numArbitrations1Plus,isDisputeYes,isDisputeNo,randomizer,RowID,isReimbursement,isWinner,isAppointerSide,isReimbursementFolded,isSplit,isSome,isAll,isAny
R_XSSLdDd8kPspkqt,10/23/2015 15:47,10/23/2015 18:05,0,Blind,a high income economy,a middle income economy,Outside jurisdiction,1,.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-State Vignette|Investor-Investor Vignette,18,NA,Respondent,Blind,NA,NA,NA,NA,NA
R_Xp1yvyNT9eHLJ1D,10/28/2015 0:07,10/28/2015 4:54,1,Blind,a high income economy,a low income economy,Claimant without legal merit,0,.,modest but growing local company in an emerging economy country,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,As the claimant’s claims were manifestly without legal merit it should bear the costs and expenses (save possible deduction of any irrecoverable costs and expenses).,1,2034040,90,0,0,0,1,0,NA,NA,NA,NA,NA,"The Claimant should be compensated for the losses it has suffered and those have been calculated by the expert (unless there is a compelling reason to do otherwise, the expert evidence should be accepted). As the Claimant was successful it should receive its legal costs and expenses (subject to such costs and expenses being recoverable under the institutional rules and/or the applicable procedural law). In reality a small percentage of such costs and expenses may be irrecoverable in any event.",1,1,0,0,1,0,1,0,0,0,Private,Bachelor's,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,19,2,Respondent,Blind,4,0,1,0,1
R_xfMdOYsu9Rvwv5f,10/27/2015 14:59,10/27/2015 20:05,0,Parties,a middle income economy,a low income economy,Outside jurisdiction,0,by the parties.,modest but growing local company in an emerging economy country,modest but growing local company in an emerging economy country,unanimously,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-State Vignette|Investor-Investor Vignette,21,NA,Respondent,Parties,NA,NA,NA,NA,NA
R_xcs0tWQRIW23knD,10/27/2015 6:30,10/27/2015 6:30,0,Parties,a middle income economy,a middle income economy,Claimant without legal merit,0,by the parties.,modest but growing local company in an emerging economy country,Fortune 500 company,unanimously,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-Investor Vignette|Investor-State Vignette,22,NA,Respondent,Parties,NA,NA,NA,NA,NA
R_xarNJac4qLQD9ex,10/27/2015 12:53,10/27/2015 13:00,1,Blind,a middle income economy,a middle income economy,Claimant wins,1,.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,100,0,0,0,0,1,1,0,0,0,0,"""After careful consideration of the facts of the case, the tribunal unanimously decided that the respondent unfairly treated and wrongfully expropriated the claimant’s investment and that the claimant is entitled to compensation."" Therefore, due to Respondent's actions Claimant was forced to file for arbitration and the former should bear the burden of expenses.",1,2034000,100,NA,NA,NA,NA,NA,1,0,0,0,0,"""After careful consideration of the facts of the case, the tribunal decided by majority that the respondent breached the contract and that the claimant is entitled to damages."" Same consideration as before.",1,1,0,0,0,1,1,0,0,0,Private,Master's,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,23,5,Claimant,Blind,5,0,0,1,1
R_x60RDECOb9fFdfP,10/27/2015 12:52,10/27/2015 13:46,0,Claimant,a middle income economy,a low income economy,Claimant without legal merit,1,by the claimant.,modest but growing local company in an emerging economy country,Fortune 500 company,unanimously,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-State Vignette|Investor-Investor Vignette,24,NA,Respondent,Appointed by Loser,NA,NA,NA,NA,NA
R_WxveUMYog7FURiN,10/27/2015 13:24,10/28/2015 19:35,1,Parties,a middle income economy,a low income economy,Outside jurisdiction,1,by the parties.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,-99,0,0,1,0,0,0,0,1,0,0,There are no facts that support a different outcome.,1,2034040,50,NA,NA,NA,NA,NA,0,0,1,0,0,"Unless there is a reason not to believe the expert and the amount is supported by the evidence, I would adopt the expert's damages calculations. /  / The apportionment is based on the fact that I don't have the rules or the parties' arbitration provision to know what limits on my discretion exist.",1,0,1,1,1,0,0,0,0,1,Private,Master's,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,25,3,Respondent,Parties,3,1,0,0,0
R_Wjso1fr8PvbfIiJ,10/24/2015 11:42,10/24/2015 12:04,1,Parties,a middle income economy,a low income economy,Claimant without legal merit,1,by the parties.,Fortune 500 company,Fortune 500 company,unanimously,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,40,0,1,0,0,0,0,0,0,1,0,"The respondent State should pay some part of the expenses of the Tribunal, etc., because it is to the advantage of the State that an arbitral institution be available for settlement of investment disputes.  A 40/60 split reflects this while imposing the greater burden on the claimant whose claim has been found to be MANIFESTLY without foundation. /  / I would require the Claimant to pay 20% of the Respondent State's expenses for the same reason. /  /  /  /",1,4002100,70,NA,NA,NA,NA,NA,0,1,0,0,0,"The Claimant derives benefit from the availability of the arbitration facilities and should contribute towards that cost. /  / The Respondent should bear a REASONABLE proportion of the Claimant's expenses, but I cannot fix a proportion without some knowledge of the nature and extent of the expenses claimed.",1,1,0,0,1,0,0,1,0,0,Academic,Master's,1,0,1,1,0,Investor-State Vignette|Investor-Investor Vignette,27,2,Respondent,Parties,4,0,1,0,1
R_WAvcR0WriCfmquB,10/24/2015 10:15,10/24/2015 10:17,0,Respondent,a high income economy,a middle income economy,Respondent wins,0,by the respondent.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-State Vignette|Investor-Investor Vignette,28,NA,Respondent,Appointed by Winner,NA,NA,NA,NA,NA
R_W67694Zdqs1lFQJ,10/27/2015 12:39,10/27/2015 12:48,1,Blind,a high income economy,a middle income economy,Outside jurisdiction,0,.,modest but growing local company in an emerging economy country,Fortune 500 company,by majority,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,-99,0,0,1,0,0,NA,NA,NA,NA,NA,Both parties were under the misteken belief that the panel had jurisdiction therefore the cost should be borne equally.,1,4002100,82,0,0,0,0,1,NA,NA,NA,NA,NA,The Respondent was found to breach the contract.  Both experts found that there was a significant financial loss as a result of the breach but did not agree on amount.  All other things being equal - as they appear to be here - I would preer the evidence of the expert witness of the non-breaching party.   No compromise is available here based on the facts provided.  The arbitrator must choose one or the ather amount.,1,1,0,0,1,0,1,0,0,0,Private,NA,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,29,3,Respondent,Blind,3,1,0,0,0
R_vZXRVy7S369w56V,10/27/2015 13:45,10/27/2015 14:01,1,Claimant,a high income economy,a low income economy,Claimant wins,0,by the claimant.,Fortune 500 company,Fortune 500 company,unanimously,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,100,0,0,0,0,1,NA,NA,NA,NA,NA,Respondent was wrong and forced the Claimant into proceeding to arbitration.,1,2034040,80,NA,NA,NA,NA,NA,0,1,0,0,0,"The damages experts agreed on a reliable number .  Their expertise  exceeds that of the Tribunal.  However, assuming good faith of both parties I would apply the same 80% split for expenses.",1,1,0,1,1,0,0,0,0,1,Private,JD,1,0,1,1,0,Investor-Investor Vignette|Investor-State Vignette,30,5,Claimant,Appointed by Winner,5,0,0,1,1
R_vTrBMzO0hK8pcsx,10/27/2015 12:51,10/27/2015 12:54,0,Claimant,a high income economy,a low income economy,Outside jurisdiction,1,by the claimant.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,1,NA,-99,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-Investor Vignette|Investor-State Vignette,31,NA,Respondent,Appointed by Loser,NA,NA,NA,NA,NA
R_vOI6FOyebmiV3ot,10/27/2015 13:04,10/27/2015 13:08,1,Parties,a middle income economy,a middle income economy,Respondent wins,1,by the parties.,Fortune 500 company,Fortune 500 company,unanimously,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,0,0,0,0,0,1,1,0,0,0,0,NA,1,2034040,100,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,0,0,Private,Master's,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,32,5,Respondent,Parties,1,0,0,0,0
R_V3Ycxs3QiYapFMR,10/23/2015 16:49,10/23/2015 16:57,1,Parties,a high income economy,a middle income economy,Outside jurisdiction,0,by the parties.,modest but growing local company in an emerging economy country,modest but growing local company in an emerging economy country,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,"The claimant has launched a claim wholly dismissed by the tribunal for lack of jurisdiction,  There is no conceivable reason why the Respondent State should bear any part of the costs of such a claim.",1,2034040,100,NA,NA,NA,NA,NA,1,0,0,0,0,"""Costs follow the event"" is a basic principle;  here the Claimant has won all the way so the entire arbitration is the fault of Respondent following its breaches of contract.  It follows that Claimant must receive the entirety of its claim and all arbitration costs",1,1,0,0,1,0,0,0,0,1,Private,Master's,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,33,1,Respondent,Parties,5,0,0,1,1
R_urYVu9CxfsJJl3r,10/28/2015 4:18,10/28/2015 5:29,1,Respondent,a middle income economy,a low income economy,Claimant wins,0,by the respondent.,modest but growing local company in an emerging economy country,modest but growing local company in an emerging economy country,by majority,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,100,0,0,0,0,1,NA,NA,NA,NA,NA,"Costs follow the event; if the claimant is entitled to compensation on the substantive dispute, it follows that he should also be reimbursed his costs",1,2530000,100,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,0,Public,Master's,1,1,0,0,1,Investor-State Vignette|Investor-Investor Vignette,34,5,Claimant,Appointed by Loser,5,0,0,1,1
R_URYjU2Ez20FC4Vj,10/27/2015 15:14,10/27/2015 15:40,1,Respondent,a high income economy,a middle income economy,Respondent wins,1,by the respondent.,Fortune 500 company,modest but growing local company in an emerging economy country,unanimously,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,50,0,0,1,0,0,0,0,1,0,0,NA,1,2034040,-99,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,0,0,1,NA,JD,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,35,3,Respondent,Appointed by Winner,3,1,0,0,0
R_ulbZS6tdGMaJbot,10/27/2015 12:43,10/27/2015 12:44,0,Respondent,a high income economy,a low income economy,Claimant without legal merit,1,by the respondent.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,1,NA,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-State Vignette|Investor-Investor Vignette,37,NA,Respondent,Appointed by Winner,NA,NA,NA,NA,NA
R_UhgvBLolRJ7cfN7,10/25/2015 10:49,10/25/2015 11:01,1,Claimant,a middle income economy,a low income economy,Respondent wins,0,by the claimant.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,50,0,0,1,0,0,NA,NA,NA,NA,NA,In my cases parties share 50/50 of my professional fees and they assume each one all of others fees or expenses.,1,-88,50,NA,NA,NA,NA,NA,0,0,1,0,0,"Here in Canada and in the Province of Quebec, the usual closes is to the fact that all parties shall be advised that the Fees for the arbitrator, is at 50/50. Unless an understanding between them was disclosed to the arbitrator.",1,1,0,0,1,0,0,0,0,1,Private,NA,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,39,3,Respondent,Appointed by Loser,3,1,0,0,0
R_uftTx3fSuPPkQo1,10/28/2015 5:49,10/28/2015 5:55,1,Blind,a middle income economy,a low income economy,Claimant wins,1,.,Fortune 500 company,Fortune 500 company,by majority,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,70,0,0,0,1,0,0,1,0,0,0,NA,1,2500000,70,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,0,0,0,Private,Doctorate,1,0,1,1,0,Investor-State Vignette|Investor-Investor Vignette,40,4,Claimant,Blind,4,0,1,0,1
R_UEDAiG41aEPb9yp,11/11/2015 10:31,11/12/2015 9:47,1,Claimant,a middle income economy,a low income economy,Outside jurisdiction,0,by the claimant.,Fortune 500 company,Fortune 500 company,by majority,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,50,0,0,1,0,0,NA,NA,NA,NA,NA,h,1,NA,-99,0,0,0,0,1,NA,NA,NA,NA,NA,we,1,1,0,0,0,1,1,0,0,0,Private,NA,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,41,3,Respondent,Appointed by Loser,3,1,0,0,0
